,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo)
0,40.3,18.0,195.0,3250.0,8.36821,-25.33302
1,47.4,14.6,212.0,4725.0,8.19101,-26.24369
2,34.6,21.1,198.0,4400.0,8.55583,-25.22588
3,45.4,14.6,211.0,4800.0,8.24515,-25.46782
4,39.7,17.7,193.0,3200.0,9.02657,-26.06203
5,41.1,17.5,190.0,3900.0,8.94365,-26.06943
6,52.2,17.1,228.0,5400.0,8.36701,-25.89834
7,49.2,15.2,221.0,6300.0,8.27376,-25.00169
8,45.2,15.8,215.0,5300.0,8.55868,-26.67799
9,39.2,19.6,195.0,4675.0,9.4606,-24.89958
10,36.0,18.5,186.0,3100.0,9.50772,-25.03492
11,38.9,18.8,190.0,3600.0,8.36936,-26.11199
12,44.1,19.7,196.0,4400.0,9.2372,-24.52698
13,37.3,16.8,192.0,3000.0,9.06829,-25.85203
14,40.7,17.0,190.0,3725.0,9.05674,-25.79529
15,38.1,17.0,181.0,3175.0,9.79532,-25.27385
16,48.5,14.1,220.0,5300.0,8.39867,-26.79358
17,39.0,17.5,186.0,3550.0,8.57199,-26.07188
18,46.4,18.6,190.0,3450.0,9.32105,-24.64162
19,51.3,19.9,198.0,3700.0,8.79581,-24.36088
20,50.6,19.4,193.0,3800.0,9.28153,-24.97134
21,52.7,19.8,197.0,3725.0,9.00642,-24.61867
22,37.8,20.0,190.0,4250.0,9.51929,-25.69199
23,45.5,13.9,210.0,4200.0,8.47829,-26.61788
24,41.0,20.0,203.0,4725.0,9.01079,-26.38085
25,39.6,20.7,191.0,3900.0,8.80967,-26.78958
26,39.2,18.6,190.0,4250.0,9.11006,-25.79549
27,37.3,20.5,199.0,3775.0,9.49645,-26.36678
28,43.6,13.9,217.0,4900.0,8.27141,-26.7765
29,37.3,17.8,191.0,3350.0,8.32718,-26.38396
30,55.1,16.0,230.0,5850.0,8.08354,-26.18161
31,46.8,16.1,215.0,5500.0,8.32359,-26.05756
32,49.8,17.3,198.0,3675.0,9.32169,-24.41562
33,46.8,15.4,215.0,5150.0,8.1631,-25.38017
34,38.8,20.0,190.0,3950.0,9.18985,-25.12255
35,51.5,16.3,230.0,5500.0,8.78557,-25.76147
36,40.5,17.9,187.0,3200.0,8.08138,-25.49448
37,40.6,18.8,193.0,3800.0,8.56674,-25.98843
38,50.7,19.7,203.0,4050.0,9.93727,-24.59066
39,45.8,14.2,219.0,4700.0,8.60447,-26.61601
40,49.0,16.1,216.0,5550.0,8.10417,-25.50562
41,35.0,17.9,192.0,3725.0,8.84451,-26.28055
42,50.8,19.0,210.0,4100.0,9.98044,-24.68741
43,36.4,17.0,195.0,3325.0,9.17847,-25.23061
44,46.9,16.6,192.0,2700.0,9.80589,-24.73735
45,49.8,16.8,230.0,5700.0,8.47067,-26.69166
46,36.0,17.8,195.0,3450.0,8.94332,-25.79189
47,51.1,16.3,220.0,6000.0,8.40327,-26.76821
48,36.0,17.9,190.0,3450.0,9.51784,-25.07683
49,47.5,16.8,199.0,3900.0,9.07825,-25.1455
50,41.6,18.0,192.0,3950.0,8.85562,-26.09294
51,45.6,19.4,194.0,3525.0,9.46985,-24.65786
52,51.3,14.2,218.0,5300.0,8.15426,-26.3433
53,46.1,13.2,211.0,4500.0,7.993,-25.5139
54,42.0,13.5,210.0,4150.0,7.63884,-25.52627
55,48.2,15.6,221.0,5100.0,8.24651,-26.66958
56,49.3,19.9,203.0,4050.0,9.88809,-24.59513
57,47.3,13.8,216.0,4725.0,8.25818,-26.23886
58,42.7,13.7,208.0,3950.0,8.14567,-26.59467
59,52.0,19.0,197.0,4150.0,9.36799,-24.47142
60,40.2,20.1,200.0,3975.0,8.95998,-26.32601
61,42.4,17.3,181.0,3600.0,9.35138,-24.6879
62,37.0,16.9,185.0,3000.0,9.36392,-25.01745
63,42.8,14.2,209.0,4700.0,7.63452,-25.46327
64,50.5,18.4,200.0,3400.0,8.9399,-23.89017
65,49.0,19.5,210.0,3950.0,9.53262,-24.66867
66,45.1,14.4,210.0,4400.0,8.51951,-27.01854
67,41.4,18.6,191.0,3700.0,8.35396,-26.27853
68,49.1,14.5,212.0,4625.0,8.35802,-26.2766
69,40.2,17.1,193.0,3400.0,9.2881,-25.54976
70,44.5,14.3,216.0,4100.0,7.96621,-25.69327
71,40.2,17.0,176.0,3450.0,9.30722,-25.61039
72,52.2,18.8,197.0,3450.0,9.77528,-24.56481
73,42.5,16.7,187.0,3350.0,9.36668,-24.45195
74,35.3,18.9,187.0,3800.0,9.21292,-24.3613
75,43.5,18.1,202.0,3400.0,9.37608,-24.40753
76,35.7,18.0,202.0,3550.0,8.46531,-26.05621
77,36.7,18.8,187.0,3800.0,7.88494,-26.24837
78,49.7,18.6,195.0,3600.0,9.75486,-24.31198
79,43.5,14.2,220.0,4700.0,8.64931,-26.68867
