,Species
0,Adelie Penguin (Pygoscelis adeliae)
1,Gentoo penguin (Pygoscelis papua)
2,Adelie Penguin (Pygoscelis adeliae)
3,Gentoo penguin (Pygoscelis papua)
4,Adelie Penguin (Pygoscelis adeliae)
5,Adelie Penguin (Pygoscelis adeliae)
6,Gentoo penguin (Pygoscelis papua)
7,Gentoo penguin (Pygoscelis papua)
8,Gentoo penguin (Pygoscelis papua)
9,Adelie Penguin (Pygoscelis adeliae)
10,Adelie Penguin (Pygoscelis adeliae)
11,Adelie Penguin (Pygoscelis adeliae)
12,Adelie Penguin (Pygoscelis adeliae)
13,Adelie Penguin (Pygoscelis adeliae)
14,Adelie Penguin (Pygoscelis adeliae)
15,Adelie Penguin (Pygoscelis adeliae)
16,Gentoo penguin (Pygoscelis papua)
17,Adelie Penguin (Pygoscelis adeliae)
18,Chinstrap penguin (Pygoscelis antarctica)
19,Chinstrap penguin (Pygoscelis antarctica)
20,Chinstrap penguin (Pygoscelis antarctica)
21,Chinstrap penguin (Pygoscelis antarctica)
22,Adelie Penguin (Pygoscelis adeliae)
23,Gentoo penguin (Pygoscelis papua)
24,Adelie Penguin (Pygoscelis adeliae)
25,Adelie Penguin (Pygoscelis adeliae)
26,Adelie Penguin (Pygoscelis adeliae)
27,Adelie Penguin (Pygoscelis adeliae)
28,Gentoo penguin (Pygoscelis papua)
29,Adelie Penguin (Pygoscelis adeliae)
30,Gentoo penguin (Pygoscelis papua)
31,Gentoo penguin (Pygoscelis papua)
32,Chinstrap penguin (Pygoscelis antarctica)
33,Gentoo penguin (Pygoscelis papua)
34,Adelie Penguin (Pygoscelis adeliae)
35,Gentoo penguin (Pygoscelis papua)
36,Adelie Penguin (Pygoscelis adeliae)
37,Adelie Penguin (Pygoscelis adeliae)
38,Chinstrap penguin (Pygoscelis antarctica)
39,Gentoo penguin (Pygoscelis papua)
40,Gentoo penguin (Pygoscelis papua)
41,Adelie Penguin (Pygoscelis adeliae)
42,Chinstrap penguin (Pygoscelis antarctica)
43,Adelie Penguin (Pygoscelis adeliae)
44,Chinstrap penguin (Pygoscelis antarctica)
45,Gentoo penguin (Pygoscelis papua)
46,Adelie Penguin (Pygoscelis adeliae)
47,Gentoo penguin (Pygoscelis papua)
48,Adelie Penguin (Pygoscelis adeliae)
49,Chinstrap penguin (Pygoscelis antarctica)
50,Adelie Penguin (Pygoscelis adeliae)
51,Chinstrap penguin (Pygoscelis antarctica)
52,Gentoo penguin (Pygoscelis papua)
53,Gentoo penguin (Pygoscelis papua)
54,Gentoo penguin (Pygoscelis papua)
55,Gentoo penguin (Pygoscelis papua)
56,Chinstrap penguin (Pygoscelis antarctica)
57,Gentoo penguin (Pygoscelis papua)
58,Gentoo penguin (Pygoscelis papua)
59,Chinstrap penguin (Pygoscelis antarctica)
60,Adelie Penguin (Pygoscelis adeliae)
61,Chinstrap penguin (Pygoscelis antarctica)
62,Adelie Penguin (Pygoscelis adeliae)
63,Gentoo penguin (Pygoscelis papua)
64,Chinstrap penguin (Pygoscelis antarctica)
65,Chinstrap penguin (Pygoscelis antarctica)
66,Gentoo penguin (Pygoscelis papua)
67,Adelie Penguin (Pygoscelis adeliae)
68,Gentoo penguin (Pygoscelis papua)
69,Adelie Penguin (Pygoscelis adeliae)
70,Gentoo penguin (Pygoscelis papua)
71,Adelie Penguin (Pygoscelis adeliae)
72,Chinstrap penguin (Pygoscelis antarctica)
73,Chinstrap penguin (Pygoscelis antarctica)
74,Adelie Penguin (Pygoscelis adeliae)
75,Chinstrap penguin (Pygoscelis antarctica)
76,Adelie Penguin (Pygoscelis adeliae)
77,Adelie Penguin (Pygoscelis adeliae)
78,Chinstrap penguin (Pygoscelis antarctica)
79,Gentoo penguin (Pygoscelis papua)
80,Gentoo penguin (Pygoscelis papua)
81,Chinstrap penguin (Pygoscelis antarctica)
82,Gentoo penguin (Pygoscelis papua)
83,Adelie Penguin (Pygoscelis adeliae)
84,Gentoo penguin (Pygoscelis papua)
85,Adelie Penguin (Pygoscelis adeliae)
86,Chinstrap penguin (Pygoscelis antarctica)
87,Gentoo penguin (Pygoscelis papua)
88,Adelie Penguin (Pygoscelis adeliae)
89,Gentoo penguin (Pygoscelis papua)
90,Chinstrap penguin (Pygoscelis antarctica)
91,Adelie Penguin (Pygoscelis adeliae)
92,Adelie Penguin (Pygoscelis adeliae)
93,Adelie Penguin (Pygoscelis adeliae)
94,Gentoo penguin (Pygoscelis papua)
95,Chinstrap penguin (Pygoscelis antarctica)
96,Adelie Penguin (Pygoscelis adeliae)
97,Adelie Penguin (Pygoscelis adeliae)
98,Adelie Penguin (Pygoscelis adeliae)
99,Gentoo penguin (Pygoscelis papua)
100,Adelie Penguin (Pygoscelis adeliae)
101,Adelie Penguin (Pygoscelis adeliae)
102,Chinstrap penguin (Pygoscelis antarctica)
103,Gentoo penguin (Pygoscelis papua)
104,Gentoo penguin (Pygoscelis papua)
105,Chinstrap penguin (Pygoscelis antarctica)
106,Gentoo penguin (Pygoscelis papua)
107,Adelie Penguin (Pygoscelis adeliae)
108,Gentoo penguin (Pygoscelis papua)
109,Adelie Penguin (Pygoscelis adeliae)
110,Adelie Penguin (Pygoscelis adeliae)
111,Gentoo penguin (Pygoscelis papua)
112,Adelie Penguin (Pygoscelis adeliae)
113,Gentoo penguin (Pygoscelis papua)
114,Adelie Penguin (Pygoscelis adeliae)
115,Adelie Penguin (Pygoscelis adeliae)
116,Adelie Penguin (Pygoscelis adeliae)
117,Adelie Penguin (Pygoscelis adeliae)
118,Chinstrap penguin (Pygoscelis antarctica)
119,Gentoo penguin (Pygoscelis papua)
